character_id,zh_cn,id_id
new_char_x,（呃…）,(Uhh ....)
new_char_x,好久没回教令院，这里还是老样子呢。,Sudah lama kita enggak main ke Akademiya ya. Tapi kayaknya masih sama kayak dulu deh.
new_char_x,嗯，那个…{NICKNAME}，闲着也是闲着，能不能陪我去智慧宫看看书呀？,"Oh, sekalian mumpung ada waktu ... {NICKNAME}, temenin Paimon ke House of Daena, bisa? Mau baca-baca."
new_char_x,你是谁？把派蒙还给我。,HEI! Siapa kamu?! Di mana Paimon?!
new_char_x,哦吼吼，被你发现了？,"Cih, ketahuan juga."
new_char_x,只可惜，晚啦！你以前熟知的派蒙已经不存在啦！,Tapi terlambat! Paimon yang kamu kenal dan sayang sudah tidak ada!!!
new_char_x,当下在你面前的是派蒙·进阶版，已加载更全、更新、更强的导游知识库！,"Yang ada di depan kamu sekarang ini adalah ... Paimon Plus! Pemandu perjalanan yang sudah update, sudah lebih pintar, dan sudah lebih kece!"
new_char_x,现在进阶版派蒙突发奇想要去找点新书看，所以请这位{NICKNAME}{M#先生}{F#小姐}速速陪同！,"Dan saat ini, Paimon Plus merasa memerlukan beberapa buku untuk dibaca, dan dirinya mengundang Anda, {M#Tuan}{F#Nona} {NICKNAME} untuk ikut bersamanya!"
new_char_x,好可怕，没得选。,Kok mau nolak jadi takut gini ya rasanya.
new_char_x,打不过，我加入。,Kena deh. Gas.
new_char_x,嘻嘻，这边这边，我来带路…,"Hehe, yuk ah! Sini, sini ...."
new_char_x,咦？那边的是柯莱和…居勒什吗？,"Oh, ada Collei! Dan ... Cyrus?"
new_char_x,不知道发生了什么，我们过去看看吧？,Lagi ngapain mereka? Samperin yuk.
new_char_x,书呢，不读了吗？,Katanya mau baca buku? Belum dapat sudah batal duluan?
new_char_x,呃…啊…,Uh ... eh ....
new_char_x,俗话说，活到老，学到老！,"Ada ... pepatah! Ya, hidup sampai tua, belajar sampai tua!"
new_char_x,意思就是，想看书的话机会有的是，而和朋友叙旧的缘分可是千载难逢哦！,"Yang artinya, baca buku sih nanti lagi juga bisa. Tapi kita enggak pernah tahu kapan bisa ketemu lagi sama teman yang sudah lama enggak ketemu!"
new_char_x,好啦，听你的啦。,"Ya deh, terserah kamu."
new_char_x,欸，{NICKNAME}，派蒙？你们回须弥啦？,"Hmm? {NICKNAME} dan Paimon, balik lagi ke Sumeru?"
new_char_x,嗯？哦！竟然是你们两位。许久不见，来这边找朋友玩吗？,"Oh, halo kalian! Sudah lama juga ya. Lagi ingin main sama teman lama ya?"
new_char_x,嘿嘿，正好看到熟人，过来打个招呼。,"Hehe, benar tuh! Kami lihat muka-muka yang enggak asing, jadi nyamperin deh~"
new_char_x,你好，萨赫哈蒂的邻居爷爷。,"Iya, mana bisa lupa ke pak tua yang tetanggaan sama Bu Zaha Hadi."
new_char_x,什么啊，哪来的老太太！,"Eh, jangan satukan aku sama dia dalam satu kalimat!"
new_char_x,要说也得说是番茄种植达人吧，这个称呼比较符合我的身份。,"Terus kalau kamu ingat yang kayak gitu, setidaknya sebut lah soal kebun tomatku!"
new_char_x,急到忽略了「爷爷」的称呼呢…,"Wah, enggak marah disebut ""pak tua"", tapi kesal karena disebutkan bareng ""Zaha Hadi"" ...."
new_char_x,你好，纳菲斯的助理先生。,"Iya, mana mungkin lupa sama asistennya Pak Naphis."
new_char_x,谁啊，谁啊！,"Ha, tidak salah?"
new_char_x,要说也得说是项目合作者吧。,"Istilah yang lebih tepatnya ""kolaborator penelitian"". Gitu baru benar."
new_char_x,这老家伙有我给他帮忙，可以说是祖上积大德。,Si tua Naphis itu harusnya bersyukur aku masih sudi bantuin dia!
new_char_x,这话可不敢当着纳菲斯先生的面说吧…,Kalimat barusan ... tidak akan pernah keluar kalau yang bersangkutan ada di depan muka.
new_char_x,噗…,Hihihi ....
new_char_x,看到居勒什这么有精神，须弥应该一切都好吧。,"Paimon senang lihat Cyrus semangat gini. Artinya, Sumeru aman damai tenteram sentosa."
new_char_x,抱歉，居勒什大人。,"Mohon maaf, Pak Cyrus."
new_char_x,没忍住开个玩笑。,Aku menjadikanmu bahan bercanda.
new_char_x,哎呀，没关系，没关系。这话说的，我是在乎这种小事的人嘛，哈哈。,"Ah, santai lah. Aku bukan tipe yang bisa kesinggung sama hal kayak gitu, haha!"
new_char_x,（在乎得不得了呢…！）,(Mana ada?!)
new_char_x,柯莱&派蒙&{NICKNAME},Collei & Paimon & {NICKNAME}
new_char_x,（在乎得不得了呢…！）,(Mana ada?!)
new_char_x,（在乎得不得了呢…！）,(Mana ada?!)
new_char_x,说起来，二位来这里做什么呀？,"Ah, kalian berdua lagi ngobrolin apa nih, tadi?"
new_char_x,哦，这个呀，也算是巧遇了。,"Oh, itu sih ... yah, kebetulan saja ketemu!"
new_char_x,我刚从贤者的办公室出来，就碰到柯莱在和教令官说话，看着可严肃了。,Aku baru turun dari kantor Sage waktu lihat Collei lagi ngomong sama Mahamata. Dan kayaknya serius sekali.
new_char_x,我还以为出什么事了呢，一等他们聊完就赶紧过来问问。,"Kirain ada kejadian lagi, makanya aku langsung samperin anaknya setelah mereka selesai bicara."
new_char_x,听我说，柯莱这孩子真是进步飞快，已经到了教令院来请她做顾问的程度咯！,"Tapi ternyata, ada kabar baik! Si Collei ini sekarang sudah jadi orang, dia diminta jadi konsultan Akademiya!"
new_char_x,哇，这么厉害！,WAH! Keren banget!
new_char_x,那个…没有那么夸张…,"Uh ... bukan apa-apa kok, sungguh ...."
new_char_x,你们瞧瞧，这孩子随我，谦虚。,"Lihat tuh, rendah hati sekali, ya kan? Mirip sama aku!"
new_char_x,不是的不是的…啊，我不是说居勒什老师不谦虚的意思…,"Tidak kok, bukan begitu ... Eh, salah! Maksudnya bukan aku merasa Pak Cyrus sombong, soalnya tidak sama sekali kok, sungguh! Aku ... aku cuma ...."
new_char_x,（柯莱紧张得要出汗了，帮帮她吧…）,"(Waduh, Collei tegang sampai keringatan. Sabar sebentar dek, bala bantuan segera tiba!)"
new_char_x,所以，具体是哪方面的顾问？,"Ah, kamu diminta jadi konsultan apa nih?"
new_char_x,算不上顾问，只是帮手之一啦。,"Oh, sebenarnya disebut ""konsultan"" juga kayakya kurang pantas deh. Aku cuma bantu-bantu ...."
new_char_x,最近正值新学期，有很多学生和学者们要为课题研究进行田野考察。,"Semester baru sudah mulai, banyak pelajar dan anak didik yang kerja lapangan untuk penelitian mereka."
new_char_x,在这个过程中，难免有不熟悉野外环境的人陷入危险。,Tapi agak bahaya kalau orang terjun ke lapangan tanpa pengalaman di alam liar.
new_char_x,因此教令院准备建立一个专门机构，在野外生存和救援行动方面为有需要的人提供指导意见。,"Maka dari itu, Akademiya mau mendirikan badan pusat bimbingan bertahan hidup di alam dan operasi penyelamatan bagi mereka yang membutuhkan."
new_char_x,啊，我懂了！,"Ooh, Paimon sudah nangkep nih!"
new_char_x,所以柯莱是作为巡林队的代表，来讲解雨林生存指南的吧！,"Jadi kamu ada di sini buat jelasin cara bertahan hidup di hutan, sebagai perwakilan dari Penjaga Hutan!"
new_char_x,嗯，差不多就是这样啦。,"Iya, gitu."
new_char_x,除了我之外，还有很多更厉害的前辈，来教大家如何破解机关或者打败魔物。,"Tentunya, kalau soal tips-tips memecahkan teka-teki mekanisme atau melawan monster, senior-senior yang lebih pengalaman yang urus."
new_char_x,哦！说到这个，教令院的负责人说，项目的人手还是有些紧缺，欢迎更多有志之士加入。,"Dan soal itu ... karena kebetulan kami kurang orang, pihak Akademiya bilang masih terima nih kalau ada yang mau gabung."
new_char_x,如果{NICKNAME}感兴趣，也欢迎前来提供指导意见。,"Kalau {NICKNAME} minat, boleh banget gabung. Nanti ada bayarannya kok."
new_char_x,哦，干得好，柯莱！抓住机会拉{NICKNAME}这样厉害的人入伙，一定会事半功倍。,"Bagus Collei, gunakan kesempatan yang ada sebaik mungkin! Mengajak sosok sehebat {NICKNAME} ikut serta akan membuat segalanya jadi lebih mudah."
new_char_x,关键是，悄悄跟你们说啊，教令院给这个项目拨款很大方哦？,Lalu ini cuma untuk kita berempat saja ya ... Akademiya sudah siapkan pendanaan yang cukup wah untuk proyek ini.
new_char_x,哦…哦哦！,Wah ... wah!
new_char_x,嗯哼，柯莱都加入了，那我们岂有不帮之理？对吧，{NICKNAME}？,"Ehem! Collei juga sudah ikutan, ya kan? {NICKNAME} ... masa kita enggak bantu teman yang lagi susah?"
new_char_x,大家知道的，我一向助人为乐。,Oh jelas. Harus bantu dong.
new_char_x,那太好了！,Asyik!
new_char_x,项目场地就在阿如村那边，等下我就会过去，可以到那去找我。,Nanti titik kumpulnya di Desa Aaru. Kita ketemu lagi di sana ya!
new_char_x,呼…本来因为这次提纳里师父不在，我还有些紧张，现在好多了…,"Fiuh, aku sudah takut duluan sebenarnya ... soalnya Guru Tighnari enggak ikutan. Tapi sekarang rasanya lebih tenang."
new_char_x,自信点，柯莱一个人也没问题。,"Percaya diri dong. Kamu pasti bisa, tidak perlu bantuan orang."
new_char_x,是啊是啊。就算不相信教令院的眼光，也要相信我和{NICKNAME}的呀。,"Iya! Misal kamu enggak percaya sama pertimbangan Akademiya buat milih kamu pun, kamu selalu bisa percaya sama pandangan kami!"
new_char_x,还有我的！我看人的眼光就跟挑番茄的一样准。,"Dan aku juga, tentunya! Aku bisa lihat bakat orang sehebat aku lihat tomat di kebun!"
new_char_x,没错！,"Nah, betul!"
new_char_x,嘿嘿，谢谢你们…,Hehe ... makasih ya semua ....
new_char_x,啊，既然说到这个，提纳里他们最近怎么样呀？,"Oh iya, Tighnari sama yang lain apa kabarnya?"
new_char_x,多谢关心，师父和巡林队的大家一切都好。,"Baik kok, makasih! Semua anggota Penjaga Hutan yang lain juga dalam keadaan baik dan sehat."
new_char_x,不过说起来，师父好像提过赛诺和赛索斯先生要来化城郭拜访…不知道是不是工作上的事情…,Tapi Guru Tighnari bilang kalau Pak Cyno dan Pak Sethos mau berangkat ke Desa Gandharva ... entah urusan kerja atau bukan.
new_char_x,他们几个凑在一起啊…不会是要打牌吧？,"Ah, mereka sih paling juga main kartu."
new_char_x,唔…也可能不是哦，听说赛索斯先生会带其他人来。,"Hmm ... belum tentu. Katanya, Pak Sethos bawa orang lain juga."
new_char_x,但我因为已经定好了要来教令院帮忙，所以没来得及细问…,"Tapi karena aku sudah komit ke Akademiya, aku enggak tanya-tanya yang lain lagi."
new_char_x,这样啊，说得我都有点好奇了。{NICKNAME}，我们要不要也过去看看呢？,"Oh, gitu ya ... Paimon jadi kepo juga nih akhirnya. Mau ke sana enggak, {NICKNAME}?"
new_char_x,很久没见了，可以去打个招呼。,"Ayo-ayo saja. Sudah lama juga enggak ketemu, boleh lah nyapa."
new_char_x,嗯，也好。他们一定很想你们。,"Iya, benar. Aku yakin mereka juga sudah kangen."
new_char_x,挺好，做朋友就应该像这样打打牌吃吃饭，而不是跟纳菲斯似的就知道叫人做项目。,"Nah, yang namanya teman tuh memang harusnya gitu. Kumpul-kumpul nongkrong main kartu atau makan-makan. Sedangkan aku ... ck, si Naphis itu kalau manggil urusannya penelitian melulu."
new_char_x,那我就不去打扰你们小辈的聚会啦，有缘再见。走了！,"Aku tidak mau bikin reuni kalian tertunda. Dadah, sampai nanti!"
new_char_x,嗯，居勒什先生慢走。,Dadah Pak Cyrus! Hati-hati di jalan!
new_char_x,啊，看时间我也差不多该动身了…,"Baiklah, aku jalan juga deh."
new_char_x,那{NICKNAME}，我就先走一步啦。等你准备好，就来阿如村找我吧。,"Dadah {NICKNAME}! Kalau sudah siap, kita ketemu di Desa Aaru ya!"
new_char_x,一定。,Siap.
new_char_x,嘿嘿，期待柯莱的表现哦！,"Hehe, enggak sabar kepingin lihat Collei tampil nih!"
new_char_x,提纳里的住处…提纳里的住处…对了，是这边！,"Rumah Tighnari ... rumah Tighnari ... Ah, ini dia!"
new_char_x,赛诺，赛索斯，你们也好呀！大家果然都在呢！…咦，这不是莱依拉吗？,"Cyno, Sethos! Lengkap semua rupanya. Wah, ada Layla juga!"
new_char_x,她…她看起来很没精神的样子啊，发生什么事了吗？,Tapi ... dia kenapa? Kok lesu gitu? Ada kejadian apa?
new_char_x,各位，好久不见。,"Halo semuanya, sudah lama ya."
new_char_x,但这是…,Ada apa? Semua baik-baik saja?
new_char_x,原来是派蒙和{NICKNAME}，你们好。,"Ah, Paimon, {NICKNAME}. Sudah lama sekali ya."
new_char_x,抱歉啊，现在正忙，可能没办法好好招待你们。,"Aku ingin menyambut kalian sebagai tuan rumah yang baik, tapi mohon maaf, kebetulan ini agak sibuk."
new_char_x,没关系，正事要紧。,Santai. Ada apa ini? Parah?
new_char_x,倒也不用这么皱着眉头。,"Oh, tidak, tidak perlu cemas."
new_char_x,就我的观察，莱依拉小姐现在的状态已经好很多了。,Pengamatanku memberi indikasi kalau kondisi Nona Layla sudah jauh lebih mendingan.
new_char_x,没有陷入精神错乱的风险，只是有些疲惫，需要一点时间恢复。,Tidak ada bahaya yang mengancam mentalnya. Cuma kelelahan dan butuh istirahat saja.
new_char_x,请稍等片刻，我去调些有凝神静气功效的熏香来，这里就先拜托你们说明情况了。,"Sebentar ya, aku mau racik wewangian penenang dulu. Tolong kalian berdua jelaskan situasinya ke mereka, makasih."
new_char_x,嗯。,Ya.
new_char_x,简而言之，赛索斯和缄默之殿的成员们在沙漠里救下了精神恍惚的莱依拉。,"Kejadiannya begini. Sethos dan beberapa anggota Temple of Silence lain menolong Layla, yang terjebak di padang pasir dalam keadaan berhalusinasi."
new_char_x,啊？「救下」？听起来好严重…,"""Menolong""? Waduh, parah ya?"
new_char_x,赛诺介绍得也太简略了，会让人产生不必要的担忧哦。,"Ceritanya cuma segitu doang, Cyno? Tolong dong, nanti orang jadi salah paham."
new_char_x,没办法，当事人现在还没能完全讲清事情经过，我们知道的线索有限。,Aku cuma bisa bilang segitu. Orang yang bersangkutan saat ini tidak bisa menjelaskan perihal kejadian apa yang menimpanya. Informasi yang kita pegang sangat terbatas.
new_char_x,呜…抱歉，头还是有点晕…,Uhh ... maaf. Kepala ... masih pusing ....
new_char_x,月亮…月亮…究竟有几个月亮呢…,Bulan ... bulan ... ada berapa ....
new_char_x,（月亮？）,(Bulan?!)
new_char_x,一路过来，她一直断断续续地重复着这句话，似乎也不记得自己身上发生的事情了。,"Dia terus mengulang kata-kata barusan, lagi dan lagi. Tapi dia tidak bisa ingat apa yang terjadi."
new_char_x,缄默之殿的人试了一些办法，都没能让她恢复记忆。,"Kami sudah coba beberapa cara di Temple of Silence, tapi percuma. Dia tetap tidak bisa ingat."
new_char_x,看她的症状有些像陷入「林居狂语期」的学者，我们就带她来找提纳里，看看经验丰富的巡林官有没有应对措施。,"Gejalanya mirip dengan pelajar yang ada dalam keadaan Kehidupan Satyavada. Karena itu kami bawa dia ke Tighnari, siapa tahu Pelindung Hutan veteran punya cara lain."
new_char_x,算是「病急乱投医」了。希望提纳里能帮上忙。,"Tighnari adalah harapan terakhir, semoga dia bisa membantu."
new_char_x,乐观点，就算记忆不能恢复，至少可以缓解头疼。捷勒一开始也这样胡言乱语的，现在已经基本恢复正常了。,"Kabar baiknya, meski mungkin mustahil memulihkan ingatannya sekali pun, kita bisa meringankan gejala sakit kepala dan pusing-pusingnya. Djer juga dalam keadaan serupa ketika ditemukan, mengigau dan halusinasi. Tapi dia sudah baik-baik saja sekarang."
new_char_x,啊，抱歉，{NICKNAME}和派蒙是不是听得云里雾里？,"Ah, maaf. Kalian pasti bingung ya."
new_char_x,不如让莱依拉小姐在这里休息，两位先跟我去见见另外一位「受害者」吧，这样说明起来也比较方便。,"Biarkan Nona Layla istirahat. Kalian berdua ikutlah, aku mau kenalkan satu lagi ""korban"" dalam insiden kali ini."
new_char_x,好主意。那我在这等提纳里，顺便照看病人。,Ide bagus. Aku tunggu Tighnari di sini sambil mengawasi pasien kita.
new_char_x,好好好，跟我来！,"Oke! Lewat sini, ayo."
new_char_x,唉，枣椰到底惹谁了呢…想不明白…,"Duh, sebenarnya Ajilenakh Nut itu menyinggung siapa sih ... aku tidak ngerti lagi ...."
new_char_x,捷勒！还在想你那枣椰呢？要不要我叫赛诺过来再给你讲一遍笑话？,"Hai, Djer! Masih mikirin Ajilenakh Nut? Mau aku panggil Cyno ke sini buat ngegaring? Biar perhatianmu bisa teralihkan sedikit."
new_char_x,我马上闭嘴。,"JANGAN! Jangan, sudah, cukup, makasih."
new_char_x,什么笑话？,Aku suka garingannya.
new_char_x,别！,Jangan! Jangan didukung!
new_char_x,「早耶，枣椰蜜糖。」,"Kamu lagi mikirin Ajilenakh Nut ya? ""Anjay, enaaakhhh!"""
new_char_x,唉呀！,AMPUN KAKAK!
new_char_x,哦，我好像想到了…早耶！,"Memang sih. Lebih enak lagi kalau dibalur tepung pati lalu digoreng, pasti ""aci""-lenakh banget tuh ""cireng""-nya."
new_char_x,敢问，这位也是高人？,"Astaga ... ternyata yang kayak gini bukan cuma satu ya, demi Archon."
new_char_x,啊对，是赛诺的牌友。,Soalnya dia suka main kartu sama Cyno.
